floc_ID,area,edgewidth
145,28.88,8.8890609784274
146,73.10249999999999,2.9361046404488795
147,28.88,3.6479588939941556
148,379.9525,2.8913356929348586
149,14.44,5.716143780100486
150,116.4225,2.9488682366646444
151,248.1875,2.292007772534769
152,377.245,1.906887786702642
153,115.52,3.841256279932461
154,162.45,3.7472668681526926
155,43.32,3.429546689234712
156,146.20499999999998,3.756377340997788
157,262.6275,3.4488716717007897
158,57.76,7.107377913202607
159,175.98749999999998,2.5898634378897873
160,44.2225,3.4152328091334225
161,346.56,5.00611473717305
162,73.10249999999999,4.244726472684318
163,43.32,6.247555871799637
164,188.6225,2.555103587936073
165,14.44,8.5440430093761
166,14.44,7.886138959331754
167,116.4225,6.846857330836599
168,28.88,4.686557484782425
169,744.5625,6.530844695435828
170,28.88,7.2952897321981585
171,146.20499999999998,3.697737657451673
172,116.4225,3.316523381789207
173,101.9825,3.4492925593524895
174,321.28999999999996,2.4337907448210987
175,14.44,3.853824852729023
176,351.97499999999997,5.194932770501005
177,134.4725,3.1669201349210496
178,14.44,5.092866664450034
179,28.88,2.691301443732059
180,28.88,3.9460843401769545
181,827.5925,5.402389319493211
182,249.09,3.37848965589178
183,28.88,6.124907741737724
184,28.88,4.008130119913319
185,175.98749999999998,2.8241683084489164
186,1015.3125,7.43938771065394
187,30.685,6.479707302743283
188,148.01,3.04760172156945
189,14.44,4.378047702418439
190,131.765,4.19284713389639
191,189.525,8.961480172163634
192,116.4225,5.656763883229809
193,14.44,5.263974084218696
194,28.88,5.912996549909129
195,57.76,2.1949666552188543
196,189.525,2.754706724148845
197,44.2225,5.019639536097515
198,132.6675,5.2389687109914576
199,28.88,3.038163600270933
200,219.3075,11.347589785738947
201,116.4225,2.665600594942228
202,323.09499999999997,2.6363971288523214
203,191.32999999999998,5.527998770022188
204,450.34749999999997,4.297163131605086
205,57.76,3.341358088145338
206,57.76,3.0402225382972103
207,14.44,6.013010750579934
208,814.9575,9.8289042504166
209,73.10249999999999,2.1824738496629372
210,28.88,4.822047444697476
211,44.2225,13.224107507503147
212,14.44,4.673368308730438
213,190.42749999999998,6.678355682666516
214,803.225,3.000573628521695
215,2332.9625,6.659183271764529
216,14.44,7.191142440562998
217,116.4225,6.9448810137185575
218,28.88,5.746881805172269
219,145.3025,4.650207336335902
220,434.10249999999996,10.544331663271121
221,86.64,2.059785370367712
222,249.99249999999998,4.655219104416276
223,28.88,5.501427912292929
224,73.10249999999999,5.7296650104861255
225,191.32999999999998,4.066698246339412
226,101.9825,2.4560033266804995
227,102.88499999999999,3.267496547139264
228,14.44,7.755600068006978
